Symbol,Sales Growth Quarterly QoQ,Net Profit Growth Quarterly QoQ,Sales Growth Quarterly YoY,Net Profit Growth Quarterly YoY,Sales Growth Yearly,Net Profit Growth,Mar26 Promoter Holding,Mar26 FII Holding,Mar26 DII Holding,Mar26 Retail holding
UBL,11.97%,25.53%,-0.42%,4.20%,9.76%,7.68%,70.83,4.94,17.83,6.4
TATAINVEST,-30.97%,-17.58%,143.34%,327.88%,-20.37%,-18.93%,73.38,2.62,0.54,23.46
NAVINFLUOR,5.08%,14.68%,33.78%,123.86%,13.77%,6.69%,27.11,23.78,27.61,21.5
SONACOMS,4.81%,24.44%,45.42%,14.16%,11.61%,15.82%,28.02,23.7,40.97,7.31
ESCORTS,-9.52%,-10.55%,21.40%,17.88%,4.49%,19.20%,68.04,5.71,11.66,14.59
ATHERENERG,23.18%,-18.48%,73.75%,57.23%,28.58%,23.35%,40.77,17.21,28.97,13.05
GRSE,11.79%,77.55%,29.06%,24.14%,41.28%,47.62%,74.5,3.51,1.69,20.3
BLUESTARCO,39.20%,175.15%,1.32%,14.98%,23.56%,42.71%,36.49,13.76,27.66,22.09
DALBHARAT,21.08%,208.59%,3.76%,-10.02%,-4.84%,-18.15%,55.84,7.15,20.24,16.77
UCOBANK,0.07%,8.34%,-1.31%,22.79%,14.70%,47.85%,90.95,0.08,4.29,4.68
CHOLAHLDNG,4.20%,17.22%,16.30%,19.34%,28.38%,23.33%,46.38,13.68,26.09,13.85
BANDHANBNK,-0.05%,159.81%,-0.10%,68.02%,16.32%,23.13%,38.98,22.07,22.33,16.62
CENTRALBK,6.92%,-41.62%,12.07%,-29.13%,9.56%,48.21%,89.27,0.75,4.81,5.17
HSCL,8.80%,8.07%,13.50%,33.49%,10.22%,35.17%,52.5,5.98,3.21,38.31
EMCURE,4.49%,5.35%,16.70%,23.58%,18.59%,34.10%,77.87,3.35,6.1,12.68
ABSLAMC,-4.15%,-30.58%,6.85%,-17.96%,24.50%,19.25%,74.82,5.75,11.55,7.88
EXIDEIND,12.73%,11.50%,9.22%,15.83%,2.79%,-9.32%,45.99,10.3,19.11,24.6
STARHEALTH,1.80%,-13.16%,13.92%,21731.37%,0.00%,-23.57%,57.98,15.06,20.31,6.65
CRISIL,-2.21%,-3.41%,30.06%,45.93%,11.94%,11.98%,66.64,7.18,12.6,13.58
ANANDRATHI,-0.62%,3.35%,29.67%,40.46%,22.33%,32.16%,43.11,5.78,9.1,42.01
ANGELONE,9.33%,19.16%,38.20%,83.51%,22.63%,4.14%,28.8,12.81,18.88,39.51
HEXT,-1.68%,20.58%,13.45%,7.49%,12.16%,16.55%,74.3,4.2,15.04,6.46
KARURVYSYA,3.92%,5.07%,15.41%,41.22%,17.84%,20.99%,2.07,19.25,39.25,39.43
MRPL,-4.13%,-91.74%,3.23%,-67.13%,4.73%,-98.44%,88.58,3.41,0.34,7.67
GODIGIT,6.52%,6.66%,2.41%,29.24%,0.00%,133.90%,73.01,8.01,14.62,4.36
