,,Mar26 vs Dec25,Mar26 vs Dec25,Mar26 vs Mar25,Mar26 vs Mar25,FY25-26,FY25-26,,,,,,,,,,,,
Symbol,Total Debt to Equity,Sales Growth Quarterly QoQ,Net Profit Growth Quarterly QoQ,Sales Growth Quarterly YoY,Net Profit Growth Quarterly YoY,Sales Growth Yearly,Net Profit Growth,Mar26 Promoter Holding,Mar26 FII Holding,Mar26 DII Holding,Mar26 Retail holding,ROE FY25-26,ROE FY24-25,ROE FY23-24, PEG , FY25-26 Dividend/Share, FY24-25 Dividend/Share, FY23-24 Dividend/Share,  Book Value  
DABUR,0.07,-14.63%,-34.47%,7.35%,16.08%,1.28%,-3.91%, 66.25 , 9.98 , 17.28 , 6.49 ,17,19.39,19.84, -   ,8,5.5,5.2, 64 
SRF,0.37,24.31%,34.52%,7.00%,10.64%,11.83%,-6.36%, 50.26 , 16.67 , 19.73 , 13.34 ,10.4,12.27,22.91, -   ,7.2,7.2,7.2, 474 
ICICIPRULI,0.22,62.42%,61.15%,17.17%,61.94%,0.00%,39.36%, 72.80 , 10.89 , 10.87 , 5.44 ,10.52,8.34,8.67,3.19,0.85,0.6,0.6, 94 
OFSS, -   ,5.05%,38.07%,20.33%,30.72%,7.43%,7.22%, 72.44 , 8.04 , 9.12 , 10.40 ,29.88,29.53,25.35,3.86,265,240,225, 899 
PERSISTENT, -   ,7.35%,20.44%,25.10%,33.73%,21.56%,28.05%, 30.29 , 22.11 , 29.47 , 18.13 ,26.22,25.86,26.36,1.63,35,26,50, 497 
IDBI,0.39,10.22%,1.43%,11.75%,-4.08%,9.35%,31.68%, 94.71 , 0.56 , 0.08 , 4.65 ,16.1,14.19,10.21,0.2,2.1,1.5,1, 56 
HAVELLS, -   ,20.00%,145.90%,2.47%,37.30%,17.15%,15.70%, 59.38 , 16.93 , 16.52 , 7.17 ,18.67,18.07,16.98,6.55,10,9,7.5, 151 
AUBANK,0.68,6.17%,24.59%,17.53%,65.15%,52.19%,37.22%, 22.76 , 37.27 , 30.87 , 9.10 ,14.26,13.1,15.52,1.29,1,1,1, 267 
SWIGGY, -   ,3.82%,24.91%,44.74%,25.95%,35.38%,-32.62%, -   , 14.59 , 24.49 , 60.92 ,0,0,0, -   ,0,0,0, 68 
POLICYBZR, -   ,16.38%,41.42%,36.70%,57.20%,44.78%,448.30%, -   , 39.92 , 32.55 , 27.53 ,6.55,1.35,-10.15,0.65,0,0,0, 158 
PAYTM, -   ,3.19%,-19.03%,18.41%,133.58%,-30.92%,53.37%, -   , 49.40 , 23.07 , 27.53 ,-5.52,-14.04,-14.95,3.95,0,0,0, 250 
LTF,3.94,4.21%,9.64%,18.60%,27.26%,12.49%,12.84%, 65.99 , 7.63 , 14.91 , 11.47 ,11.18,10.84,10.36,0.1,2.75,2.75,2.5, 111 
INDUSINDBK,0.83,-3.23%,364.39%,3.49%,125.51%,6.38%,-71.31%, 15.82 , 28.57 , 40.38 , 15.23 ,4.05,15.28,14.54, -   ,0,16.5,14, 840 
NATIONALUM,0.01,5.96%,7.29%,-4.84%,-17.35%,27.67%,164.93%, 51.28 , 22.27 , 10.75 , 15.70 ,32.73,14.45,11.17,0.6,10.5,5,4.5, 118 
FEDERALBNK,0.94,7.96%,23.96%,11.80%,25.71%,19.27%,6.98%, -   , 26.05 , 49.48 , 24.47 ,13,15.04,15.36,0.59,1.2,1.2,1, 156 
BAJAJHFL,4.12,0.58%,0.65%,15.92%,14.06%,25.71%,24.93%, 86.70 , 0.99 , 0.89 , 11.42 ,13.45,15.23,14.59,0.63,0,0,0, 27 
YESBANK,1.51,1.45%,13.14%,0.51%,45.36%,12.00%,90.37%, -   , 46.42 , 21.75 , 31.83 ,5.51,3.18,2,0.64,0,0,0, 16 
NAM-INDIA, -   ,4.74%,-4.77%,30.39%,28.88%,35.75%,16.22%, 71.93 , 7.35 , 14.77 , 5.95 ,32.31,30.48,21.4,2.3,18,16.5,11.5, 73 
ATGL,0.42,3.38%,0.11%,16.60%,5.20%,11.74%,-1.96%, 74.80 , 12.75 , 6.26 , 6.19 ,16.81,20.47,20.4,12.2,0.25,0.25,0.25, 44 
IOB,1.46,3.87%,10.28%,11.19%,43.35%,16.94%,27.38%, 92.44 , 0.43 , 4.28 , 2.85 ,12.65,11.35,10.03,0.48,0,0,0, 17 
SCHAEFFLER, -   ,-5.09%,-1.95%,18.91%,25.61%,17.66%,22.53%, 74.13 , 4.25 , 16.32 , 5.30 ,20.21,18.52,19.78,5.83,35,28,26, 407 
LAURUSLABS,0.61,1.87%,11.38%,5.31%,20.54%,10.18%,110.69%, 27.49 , 25.82 , 13.96 , 32.73 ,8.3,4.15,21.63, -   ,1.2,0.8,2, 98 
PHOENIXLTD,0.45,9.99%,31.94%,21.34%,40.17%,-4.13%,-1.87%, 47.25 , 32.97 , 16.14 , 3.64 ,13.1,14.92,19.74,0.72,2.5,5,5, 307 
MAHABANK,0.89,5.60%,13.20%,15.22%,34.89%,21.73%,36.12%, 73.60 , 5.55 , 13.89 , 6.96 ,24.41,24.77,19.42,0.13,1.5,1.4,1.3, 41 
BANKINDIA,1.71,2.74%,10.90%,5.92%,15.18%,16.76%,46.28%, 73.38 , 7.26 , 13.73 , 5.63 ,13.72,10.9,7.54,0.15,4.05,2.8,2, 172 
JSL,0.38,7.79%,-3.31%,11.17%,28.70%,1.94%,-7.19%, 62.05 , 20.87 , 7.15 , 9.93 ,16.13,20.5,22.13, -   ,3,3,2.5, 240 
OBEROIRLTY,0.21,17.23%,16.47%,52.14%,64.96%,17.58%,15.51%, 67.70 , 15.42 , 14.13 , 2.75 ,15.06,14.79,16.83,0.86,8,8,4, 477 
BIOCON,0.84,8.23%,483.40%,2.25%,-56.77%,3.43%,10.14%, 44.91 , 7.52 , 24.06 , 23.51 ,7.03,7,4.98,7.01,0.5,0.5,1.5, 234 
SBICARD,3.27,-3.76%,9.46%,5.57%,14.06%,6.51%,-20.41%, 68.92 , 9.54 , 17.69 , 3.85 ,14.83,22.03,25.82,4.85,2.5,2.5,2.5, 165 
IDFCFIRSTB,1.03,1.30%,-30.92%,12.11%,11.85%,20.37%,-49.35%, -   , 36.52 , 22.73 , 40.75 ,4.24,10.14,10.6,0.31,0.25,0,0, 55 
JSWINFRA,0.49,12.79%,16.12%,18.64%,-17.83%,18.95%,31.08%, 83.62 , 6.89 , 2.38 , 7.11 ,17.6,20.16,21.8,0.59,0.8,0.55,0, 50 
COFORGE,0.11,6.26%,124.54%,30.05%,117.78%,33.76%,13.50%, -   , 30.66 , 55.20 , 14.14 ,19.7,25.81,26.28,3.61,76,76,64, 618 
HDBFS,5.56,1.54%,16.57%,11.24%,41.38%,15.01%,-11.58%, 74.12 , 3.01 , 12.21 , 10.66 ,14.81,19.63,18.75,0.78,3,3,1.1, 249 
COROMANDEL,0.02,-31.62%,-76.53%,20.35%,-80.73%,9.19%,25.24%, 56.35 , 13.02 , 17.05 , 13.58 ,20.07,18.96,28.27,2.8,15,6,12, 426 
GODREJPROP,0.71,593.90%,167.76%,62.99%,34.73%,62.17%,85.96%, 51.66 , 26.17 , 7.56 , 14.61 ,10.18,7.77,6.92,0.52,0,0,0, 636 
THERMAX,0.34,30.11%,19.14%,12.53%,19.31%,11.43%,-2.56%, 61.98 , 11.25 , 15.49 , 11.28 ,13.38,15.5,12.25,2.96,14,12,10, 466 
MRF,0.16,-0.08%,1.51%,13.70%,37.56%,11.86%,-10.18%, 27.77 , 17.98 , 11.57 , 42.68 ,10.62,13.25,5.35,0.56,235,200,175," 49,455 "
APLAPOLLO,0.15,7.81%,14.29%,13.81%,20.89%,14.19%,3.36%, 28.25 , 37.50 , 15.09 , 19.16 ,19.41,22.17,23.51,6.48,5.75,5.5,5, 191 
MOTILALOFS,1.35,26.73%,-138.70%,124.84%,-246.75%,17.37%,2.56%, 67.54 , 7.03 , 5.61 , 19.82 ,25.65,33.07,15.86,1.18,5,14,10, 214 
KEI,0.03,17.66%,21.06%,19.27%,25.50%,19.89%,19.90%, 35.00 , 27.27 , 25.83 , 11.90 ,15.63,20.31,20.27,2.33,4,3.5,3, 697 
M&MFIN,5.75,1.63%,14.46%,13.37%,109.94%,16.88%,16.36%, 52.49 , 9.40 , 32.09 , 6.02 ,11.35,10.32,11.71,0.65,6.5,6.3,6, 192 
RADICO,0.36,-4.45%,12.94%,15.54%,93.27%,17.79%,31.82%, 40.20 , 17.63 , 27.35 , 14.82 ,13.35,11.31,10.42,6.63,4,3,3, 248 
SUPREMEIND, -   ,31.29%,165.23%,16.54%,46.19%,3.08%,-10.17%, 48.96 , 17.12 , 16.38 , 17.54 ,17.84,22.49,20.99, -   ,34,30,26, 486 
PIRAMALFIN,3.41,17.35%,36.17%,21.22%,1348.80%,22.96%,99.66%, 46.16 , 14.63 , 18.80 , 20.41 ,-0.04,-13.31,-40.04, -   ,0,0,0," 1,242 "
TATACOMM,3.64,5.90%,-29.77%,9.41%,-66.01%,11.18%,43.31%, 58.86 , 14.44 , 19.11 , 7.59 ,66.38,66.95,144.48,19.51,25,16.7,21, 114 
360ONE,1.61,-5.59%,-11.78%,27.31%,15.68%,31.46%,26.25%, 6.24 , 63.33 , 12.86 , 17.57 ,19.88,25.3,22.01,1.8,6,16.5,34.5, 242 
KALYANKJIL,0.69,-0.66%,-1.63%,66.22%,118.28%,35.27%,19.77%, 62.87 , 14.55 , 14.13 , 8.45 ,15.92,15.26,12.76,0.69,1.5,1.2,0.5, 56 
BALKRISIND,0.31,7.16%,-21.64%,6.56%,-18.75%,11.51%,12.47%, 58.29 , 11.13 , 24.25 , 6.33 ,17.2,17.93,14.6,6.86,16,16,16, 560 
PETRONET,0.02,-15.42%,58.20%,-23.33%,25.29%,-3.31%,10.12%, 50.00 , 27.13 , 12.79 , 10.08 ,20.83,21.59,22.04,2.62,10,10,10, 149 
MPHASIS,0.17,6.00%,15.25%,14.36%,14.53%,11.59%,9.43%, 30.55 , 19.51 , 45.63 , 4.31 ,18.68,18.98,19.11,5.18,62,57,55, 553 
POONAWALLA,3.22,16.34%,69.61%,81.39%,308.78%,34.76%,-105.96%, 63.93 , 10.21 , 11.13 , 14.73 ,-1.22,22.25,8.92, -   ,0,2,2, 146 
LTTS, -   ,-2.24%,5.58%,8.34%,14.49%,10.60%,-3.28%, 73.57 , 3.86 , 14.26 , 8.31 ,22.52,27.29,28.67,3.29,55,50,45, 611 
